-image,                                        topleft,       bottomleft,   bottomright,   topright,    h line left, h line right, v line top, v line bottom
niedermaier_tobias_32900_20221115_113319.jpg, (1436, 1760), (1439, 2125), (2026, 2109), (2023, 1763), (1436, 1503), (2023, 1498), (750, 1760),  (778, 2125)
niedermaier_tobias_32900_20221115_113328.jpg, (1749, 1874), (1742, 2062), (2058, 2057), (2046, 1868), (1749, 1737), (2046, 1726), (1380, 1874), (1385, 2062)
niedermaier_tobias_32900_20221115_113340.jpg, (1693, 1769), (1719, 2370), (2198, 2282), (2193, 1793), (1963, 1344), (2193, 1450), (701, 1769),  (747, 2370)
niedermaier_tobias_32900_20221115_113346.jpg, (953, 1603),  (978, 2111),  (1630, 2080), (1624, 1629),  (953, 1235), (1624, 1318), (1955, 1603), (1952, 2111)
niedermaier_tobias_32900_20221115_113356.jpg, (1599, 1789), (1602, 2099), (1985, 2099), (1982, 1789), (1599, 1583), (1982, 1545), (2311, 1789), (2306, 2099)
niedermaier_tobias_32900_20221115_113401.jpg, (1513, 1361), (1526, 1661), (1924, 1671), (1930, 1352), (1513, 1156), (1930, 1133), (2226, 1361), (2231, 1661)
niedermaier_tobias_32900_20221115_113424.jpg, (1065, 1633), (1110, 2353), (1949, 2466), (1927, 1460), (1065, 1104), (1927, 744),  (2922, 1633), (2914, 2353)
niedermaier_tobias_32900_20221115_113437.jpg, (395, 2692),  (586, 4622),  (1843, 3376), (1805, 2292), (395, 1099),  (1805, 1527), (2124, 2692), (2199, 4622)
                                                            (890, 4619) # top value is for line with topleft, this is for line wiht bottom right.
niedermaier_tobias_32900_20221115_113440.jpg, (200, 606),   (439, 3037),  (1968, 2424), (1961, 1237), (1805, 208), (2669, 960), (2373, 721), (2336, 3502)
